no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
115,Dayhoff+I+G4,11921.451,24328.901,24842.252,25340.586,0.826660836,0.001,0.50848042,0.001,1.072523577,0.001,0.642808852,0.001,1.039886087,0.001
116,Dayhoff+G4,11925.869,24335.739,24842.687,25343.261,0.786175816,0.001,0.557593176,0.001,1.0490654,0.001,0.364626714,0.001,0.851469567,0.001
117,DCMut+I+G4,11923.479,24332.958,24846.308,25344.643,0.875761231,0.001,0.657175626,0.001,1.006886883,0.001,0.61646533,0.001,1.316687058,0.001
118,DCMut+G4,11928.086,24340.172,24847.120,25347.694,0.795964094,0.001,0.293108501,0.003,1.012202988,0.001,0.93938462,0.001,0.814112407,0.001
119,JTT+F,11872.820,24265.640,24899.845,25348.101,0.819552233,0.001,0.559869453,0.001,1.026618625,0.001,0.828197454,0.001,1.36854857,0.001
120,WAG,11933.416,24348.832,24849.450,25352.191,0.70163893,0.001,0.465141116,0.001,0.999984067,0.001,1.674698744,0.001,1.145439223,0.001
121,Dayhoff+R3,11922.889,24335.777,24862.153,25355.789,0.684446873,0.001,0.404918374,0.001,1.035521431,0.001,0.109034593,0.001,0.603595089,0.001
122,cpREV+I,11932.536,24349.072,24856.020,25356.594,0.79561201,0.001,0.254248388,0.01,1.002460602,0.001,4.781255214,0.001,1.741209516,0.001
123,DCMut+R3,11924.790,24339.580,24865.956,25359.593,0.718892363,0.001,0.50593478,0.001,1.013027558,0.001,0.094426148,0.001,0.518375674,0.001
124,JTTDCMut+F,11882.655,24285.311,24919.516,25367.772,0.684695236,0.001,0.488836167,0.001,1.017151578,0.001,0.257216269,0.001,0.60102856,0.001
125,Dayhoff+R4,11923.541,24341.083,24880.783,25369.421,0.763023462,0.001,0.578079342,0.001,0.999990023,0.001,0.121955478,0.001,0.654771493,0.001
126,DCMut+R4,11924.965,24343.929,24883.630,25372.268,0.868129063,0.001,0.447448089,0.001,1.012647348,0.001,2.028606101,0.001,1.904788277,0.001
127,Dayhoff+R2,11992.801,24471.602,24984.953,25483.288,0.712387789,0.001,0.400398911,0.001,1.019742418,0.001,0.50656099,0.001,0.680478073,0.001
128,DCMut+R2,11996.895,24479.789,24993.140,25491.475,0.569238902,0.001,0.384836044,0.001,1.00155978,0.001,0.109046454,0.001,0.437413635,0.001
129,cpREV+F,12000.183,24520.366,25154.571,25602.828,0.885104623,0.001,0.423191381,0.001,1.000023595,0.001,2.287368289,0.001,1.346628994,0.001
130,Dayhoff+F+I,12035.028,24592.055,25234.140,25678.681,0.826506193,0.001,0.593914467,0.001,1.021729272,0.001,0.281283622,0.001,1.259587015,0.001
131,JTT,12098.495,24678.989,25179.607,25682.348,0.855441763,0.001,0.542381597,0.001,1.004273883,0.001,0.784536393,0.001,1.038985954,0.001
132,DCMut+F+I,12037.420,24596.841,25238.925,25683.466,0.741958574,0.001,0.518195564,0.001,1.007814325,0.001,0.329746118,0.001,0.795887777,0.001
133,JTTDCMut,12105.138,24692.276,25192.894,25695.635,0.806675423,0.001,0.404551498,0.001,1.010173103,0.001,1.411373202,0.001,1.942153123,0.001
134,cpREV,12275.604,25033.208,25533.826,26036.567,0.648998378,0.001,0.427373117,0.001,1.001992021,0.001,0.138929689,0.001,0.636592021,0.001
135,Dayhoff+I,12291.074,25066.148,25573.097,26073.670,0.560918983,0.001,0.301708633,0.001,1.019349013,0.001,0.141530509,0.001,0.497780601,0.001
136,DCMut+I,12292.438,25068.875,25575.823,26076.397,0.815791104,0.001,0.419324236,0.001,1.002006414,0.001,0.715127512,0.001,0.692246215,0.001
137,Dayhoff+F,12472.364,25464.728,26098.934,26547.190,0.68416568,0.001,0.370641505,0.001,1.000009068,0.001,0.679863801,0.001,0.743079819,0.001
138,DCMut+F,12477.475,25474.950,26109.156,26557.412,0.570294832,0.001,0.319782424,0.001,1.009819815,0.001,0.167420948,0.001,0.402376619,0.001
139,Dayhoff,12737.606,25957.211,26457.829,26960.570,0.777679961,0.001,0.431603443,0.001,1.017057236,0.001,0.345698538,0.001,1.013658279,0.001
140,DCMut,12741.492,25964.983,26465.601,26968.342,0.701644125,0.001,0.549404167,0.001,1.00002184,0.001,0.265097961,0.001,0.823328529,0.001
